image_path,image_price,image_category
~/icons/ocean/ocean_whale1.png,1,ocean
~/icons/ocean/ocean_shell.png,1,ocean
~/icons/ocean/ocean_whale2.png,1,ocean
~/icons/ocean/ocean_seal.png,1,ocean
~/icons/ocean/ocean_duckfeet.png,1,ocean
~/icons/ocean/ocean_fish4.png,1,ocean
~/icons/ocean/ocean_crab.png,1,ocean
~/icons/ocean/ocean_sailboat.png,1,ocean
~/icons/ocean/ocean_seahorse.png,1,ocean
~/icons/ocean/ocean_coral1.png,1,ocean
~/icons/ocean/ocean_fish3.png,1,ocean
~/icons/ocean/ocean_shark.png,1,ocean
~/icons/ocean/ocean_fish2.png,1,ocean
~/icons/ocean/ocean_coral2.png,1,ocean
~/icons/ocean/ocean_fish1.png,1,ocean
~/icons/ocean/ocean_dolphine.png,1,ocean
~/icons/ocean/ocean_ship2.png,1,ocean
~/icons/ocean/ocean_shrimp.svg,1,ocean
~/icons/ocean/ocean_ship1.png,1,ocean
~/icons/ocean/ocean_octopus.png,1,ocean
~/icons/ocean/ocean_shellPearl.png,1,ocean
~/icons/ocean/ocean_seeweed.png,1,ocean
~/icons/ocean/ocean_manetee.png,1,ocean
~/icons/ocean/ocean_nemo.png,1,ocean
~/icons/ocean/ocean_boat.png,1,ocean
~/icons/transport/transport_taxii.png,1,transport
~/icons/transport/transport_trolley.png,1,transport
~/icons/transport/transport_helicopter.png,1,transport
~/icons/transport/transport_tracktor.png,1,transport
~/icons/transport/transport_truck4.png,1,transport
~/icons/transport/transport_car1.png,1,transport
~/icons/transport/transport_f1.png,1,transport
~/icons/transport/transport_plane.png,1,transport
~/icons/transport/transport_car2.png,1,transport
~/icons/transport/transport_truck2.png,1,transport
~/icons/transport/transport_truck3.png,1,transport
~/icons/transport/transport_truck1.png,1,transport
~/icons/transport/transport_train.png,1,transport
~/icons/transport/transport_bike.png,1,transport
~/icons/clothes/clothes_shoe.png,1,clothes
~/icons/clothes/clothes_suit.png,1,clothes
~/icons/clothes/clothes_dress.png,1,clothes
~/icons/clothes/clothes_pants.png,1,clothes
~/icons/clothes/clothes_skirt.png,1,clothes
~/icons/clothes/clothes_shortShirt.png,1,clothes
~/icons/clothes/clothes_tshirt1.png,1,clothes
~/icons/clothes/clothes_tshirt2.png,1,clothes
~/icons/clothes/clothes_tshirt3.png,1,clothes
~/icons/clothes/clothes_sock.png,1,clothes
~/icons/clothes/clothes_beanie.png,1,clothes
~/icons/clothes/clothes_pullover.png,1,clothes
~/icons/magic/ghost.svg,1,magic
~/icons/magic/magic_alien1.png,1,magic
~/icons/magic/magic_fairyMale.png,1,magic
~/icons/magic/magic_alien2.png,1,magic
~/icons/magic/magic_pegasus.png,1,magic
~/icons/magic/magic_ocean_mermaidMale.png,1,magic
~/icons/magic/magic_fairyFemale.png,1,magic
~/icons/magic/magic_robot.png,1,magic
~/icons/magic/magic_magidLamp.png,1,magic
~/icons/magic/magic_witch.png,1,magic
~/icons/magic/magic_genome.png,1,magic
~/icons/magic/magic_dragon1.png,1,magic
~/icons/magic/magic_unicorn.png,1,magic
~/icons/magic/magic_dragon2.png,1,magic
~/icons/magic/magic_monster3.png,1,magic
~/icons/magic/magic_monster2.png,1,magic
~/icons/magic/magic_ocean_mermaidFemale.png,1,magic
~/icons/magic/magic_monster1.png,1,magic
~/icons/art/art_trumpet.png,1,art
~/icons/art/art_drum2.png,1,art
~/icons/art/art_speaker.png,1,art
~/icons/art/art_piano.png,1,art
~/icons/art/art_drum1.png,1,art
~/icons/art/art_xylophone.png,1,art
~/icons/art/art_origami.png,1,art
~/icons/art/art_note2.png,1,art
~/icons/art/art_note3.png,1,art
~/icons/art/art_violin.png,1,art
~/icons/art/art_note1.png,1,art
